review_count,stars,Take-out,GoodFor_lunch,GoodFor_dinner,GoodFor_breakfast,Noise_Level,Takes_Reservations,Delivery,Parking_lot,WheelchairAccessible,Alcohol,WaiterService,Wi-Fi
7,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,N/A,full_bar,N/A,N/A
4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,no
6,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,FALSE,FALSE,none,FALSE,N/A
3,1,TRUE,N/A,N/A,N/A,average,FALSE,TRUE,FALSE,N/A,none,FALSE,no
59,1,TRUE,TRUE,TRUE,FALSE,average,TRUE,FALSE,FALSE,N/A,full_bar,TRUE,no
14,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,TRUE,no
17,1,TRUE,TRUE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,FALSE,none,FALSE,no
4,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
8,1,TRUE,N/A,N/A,N/A,quiet,FALSE,TRUE,FALSE,N/A,none,FALSE,no
9,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
7,1,TRUE,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A
12,1,TRUE,TRUE,TRUE,FALSE,average,FALSE,FALSE,TRUE,N/A,full_bar,TRUE,no
11,1,TRUE,TRUE,TRUE,FALSE,loud,FALSE,TRUE,FALSE,FALSE,none,TRUE,no
5,1,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A
11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,full_bar,N/A,N/A
18,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
19,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,free
10,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,no
19,1,TRUE,TRUE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,TRUE,full_bar,TRUE,free
9,0,TRUE,N/A,N/A,N/A,quiet,FALSE,TRUE,N/A,N/A,none,FALSE,no
4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,full_bar,N/A,N/A
33,1,TRUE,FALSE,FALSE,TRUE,average,FALSE,FALSE,FALSE,N/A,beer_and_wine,TRUE,no
20,1,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A
127,1,TRUE,TRUE,TRUE,FALSE,average,FALSE,FALSE,TRUE,FALSE,none,FALSE,no
13,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,no
4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
3,0,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,N/A,N/A
19,1,TRUE,FALSE,FALSE,TRUE,average,FALSE,FALSE,TRUE,TRUE,none,TRUE,no
7,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,TRUE,TRUE,N/A,N/A,N/A
87,1,TRUE,FALSE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,free
237,1,TRUE,FALSE,FALSE,TRUE,average,FALSE,FALSE,FALSE,TRUE,none,TRUE,no
31,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,FALSE,TRUE,none,FALSE,free
24,1,TRUE,TRUE,FALSE,FALSE,quiet,TRUE,FALSE,TRUE,TRUE,none,TRUE,no
10,1,TRUE,TRUE,FALSE,FALSE,quiet,FALSE,N/A,TRUE,TRUE,beer_and_wine,TRUE,N/A
6,0,TRUE,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A
5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
72,1,TRUE,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,TRUE,full_bar,TRUE,free
11,0,TRUE,FALSE,FALSE,FALSE,N/A,N/A,TRUE,FALSE,N/A,N/A,N/A,N/A
9,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
266,1,TRUE,FALSE,TRUE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,beer_and_wine,TRUE,free
5,1,N/A,N/A,N/A,N/A,quiet,N/A,N/A,N/A,N/A,full_bar,N/A,N/A
10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,1,TRUE,TRUE,TRUE,FALSE,average,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,no
5,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,N/A,none,FALSE,no
12,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,free
4,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
3,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,N/A
13,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,FALSE,N/A
9,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,N/A,N/A
5,0,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,N/A,N/A,none,FALSE,no
13,0,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,no
45,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
84,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,TRUE,TRUE,full_bar,TRUE,free
3,0,TRUE,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,FALSE,N/A,N/A,N/A
4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
22,0,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,TRUE,N/A,full_bar,TRUE,free
5,0,TRUE,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A
8,1,TRUE,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A
3,1,TRUE,FALSE,FALSE,FALSE,N/A,N/A,TRUE,FALSE,N/A,N/A,TRUE,N/A
7,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,free
16,1,TRUE,FALSE,FALSE,TRUE,quiet,FALSE,FALSE,FALSE,N/A,none,FALSE,free
13,1,TRUE,TRUE,FALSE,FALSE,quiet,TRUE,FALSE,N/A,N/A,full_bar,N/A,no
5,1,TRUE,FALSE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,free
43,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,TRUE,TRUE,FALSE,full_bar,TRUE,no
25,1,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,TRUE,N/A,N/A,N/A
24,1,TRUE,TRUE,FALSE,FALSE,average,TRUE,FALSE,TRUE,FALSE,full_bar,TRUE,no
13,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
17,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,free
93,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,free
74,0,TRUE,FALSE,TRUE,FALSE,quiet,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,free
28,0,N/A,FALSE,FALSE,FALSE,loud,TRUE,FALSE,FALSE,N/A,full_bar,TRUE,N/A
181,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,free
23,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,FALSE,no
19,1,TRUE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,TRUE,none,TRUE,N/A
19,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
420,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,no
10,1,TRUE,TRUE,FALSE,FALSE,N/A,FALSE,FALSE,N/A,N/A,none,FALSE,N/A
4,0,TRUE,FALSE,FALSE,FALSE,very_loud,FALSE,FALSE,FALSE,N/A,none,N/A,free
87,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
171,0,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,no
57,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,no
37,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,full_bar,FALSE,N/A
7,0,TRUE,FALSE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,FALSE,N/A
27,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,N/A,no
61,1,TRUE,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,N/A,beer_and_wine,TRUE,no
92,0,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
61,1,TRUE,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,TRUE,full_bar,TRUE,free
17,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
4,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,FALSE,no
7,1,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A
8,1,TRUE,TRUE,FALSE,FALSE,quiet,FALSE,TRUE,FALSE,N/A,none,FALSE,no
20,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,none,FALSE,N/A
71,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,no
6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,full_bar,N/A,N/A
3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,no
5,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,N/A,TRUE,N/A
62,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,N/A
7,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
16,1,TRUE,TRUE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,no
3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,N/A
93,1,TRUE,FALSE,TRUE,FALSE,quiet,TRUE,FALSE,FALSE,TRUE,beer_and_wine,TRUE,no
56,0,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,TRUE,TRUE,full_bar,TRUE,N/A
3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
3,0,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,TRUE,none,FALSE,N/A
17,0,TRUE,FALSE,FALSE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,N/A
10,1,TRUE,FALSE,FALSE,FALSE,average,TRUE,FALSE,FALSE,N/A,full_bar,TRUE,N/A
25,1,TRUE,TRUE,FALSE,FALSE,loud,TRUE,TRUE,FALSE,TRUE,full_bar,TRUE,no
64,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,no
18,1,TRUE,TRUE,FALSE,FALSE,very_loud,TRUE,FALSE,FALSE,FALSE,full_bar,TRUE,N/A
10,1,N/A,N/A,N/A,N/A,average,N/A,N/A,FALSE,N/A,full_bar,N/A,N/A
6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
16,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,N/A
76,1,TRUE,N/A,N/A,N/A,N/A,FALSE,FALSE,TRUE,TRUE,N/A,N/A,no
24,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,TRUE,FALSE,none,FALSE,N/A
3,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,N/A,N/A,none,FALSE,N/A
15,1,TRUE,TRUE,TRUE,FALSE,average,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,no
7,0,TRUE,FALSE,FALSE,FALSE,quiet,TRUE,TRUE,N/A,N/A,beer_and_wine,N/A,N/A
7,0,N/A,FALSE,FALSE,FALSE,N/A,TRUE,FALSE,FALSE,N/A,full_bar,TRUE,N/A
18,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,N/A,none,FALSE,no
11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,N/A
22,0,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,TRUE,FALSE,N/A,none,FALSE,no
20,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,N/A
23,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
47,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,no
277,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,FALSE,full_bar,TRUE,no
7,0,TRUE,TRUE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,N/A
74,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,TRUE,FALSE,TRUE,none,FALSE,no
39,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,TRUE,FALSE,TRUE,none,FALSE,no
36,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,TRUE,FALSE,TRUE,none,FALSE,N/A
6,0,N/A,FALSE,FALSE,FALSE,average,N/A,N/A,FALSE,N/A,full_bar,N/A,no
30,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,free
8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,free
12,1,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,FALSE,TRUE,none,TRUE,N/A
29,0,TRUE,TRUE,TRUE,FALSE,quiet,TRUE,FALSE,FALSE,TRUE,none,TRUE,N/A
6,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,N/A,N/A,full_bar,TRUE,N/A
10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,free
3,0,N/A,N/A,N/A,N/A,quiet,N/A,N/A,N/A,N/A,N/A,N/A,no
